model,ID,kraken_present,cv_fold,logp
ucb_lcb_n,93.0,0.0,0.0,-20.958684265613556
ucb_lcb_n,94.0,0.0,0.0,-32.80208373069763
ucb_lcb_n,95.0,0.0,0.0,-21.57188030332327
ucb_lcb_n,96.0,0.0,0.0,-21.466028451919556
ucb_lcb_n,98.0,0.0,0.0,-63.9278901219368
ucb_lcb_n,99.0,0.0,0.0,-18.859001025557518
ucb_lcb_n,101.0,0.0,0.0,-24.148169219493866
ucb_lcb_n,102.0,0.0,0.0,-31.913180232048035
ucb_lcb_n,103.0,0.0,0.0,-29.155210375785828
ucb_lcb_n,104.0,0.0,0.0,-38.2570595741272
ucb_lcb_n,105.0,0.0,0.0,-61.799623012542725
ucb_lcb_n,106.0,0.0,0.0,-26.61357545852661
ucb_lcb_n,107.0,0.0,0.0,-18.620482444763184
ucb_lcb_n,108.0,0.0,0.0,-41.60961103439331
ucb_lcb_n,109.0,0.0,0.0,-17.535419076681137
ucb_lcb_n,111.0,0.0,0.0,-42.61874544620514
ucb_lcb_n,112.0,0.0,0.0,-28.080758571624756
ucb_lcb_n,113.0,0.0,0.0,-38.45516884326935
ucb_lcb_n,114.0,0.0,0.0,-57.08942770957947
ucb_lcb_n,115.0,0.0,0.0,-24.646605968475342
ucb_lcb_n,116.0,0.0,0.0,-26.011714220046997
ucb_lcb_n,117.0,0.0,0.0,-35.282039165496826
ucb_lcb_n,118.0,0.0,0.0,-16.854885086417198
ucb_lcb_n,119.0,0.0,0.0,-26.48894214630127
ucb_lcb_n,120.0,0.0,0.0,-22.772618860006332
ucb_lcb_n,121.0,0.0,0.0,-34.577109575271606
ucb_lcb_n,122.0,0.0,0.0,-26.421125024557114
ucb_lcb_n,123.0,0.0,0.0,-30.42124342918396
ucb_lcb_n,124.0,0.0,0.0,-43.87168025970459
ucb_lcb_n,125.0,0.0,0.0,-65.54389214515686
ucb_lcb_n,126.0,0.0,0.0,-14.669947311282158
ucb_lcb_n,128.0,0.0,0.0,-18.06253081560135
ucb_lcb_n,130.0,0.0,0.0,-35.229795932769775
ucb_lcb_n,131.0,0.0,0.0,-26.66661784797907
ucb_lcb_n,132.0,0.0,0.0,-30.523733481764793
ucb_lcb_n,133.0,0.0,0.0,-36.69788956642151
