,ID,cond,tp,ls,beta,tau
41,35,1,1,1.092991590499878,0.03631705790758133,0.02993025630712509
42,36,1,0,1.8298591375350952,0.05657416582107544,0.06398172676563263
43,36,1,1,1.4278364181518555,0.08101794123649597,0.07050132751464844
44,38,1,0,0.9044623374938965,0.666157066822052,0.039825014770030975
45,38,1,1,1.2962497472763062,0.00038711243541911244,0.03303155675530434
46,40,1,0,1.3235433101654053,0.42574408650398254,0.12273997813463211
47,40,1,1,1.4370440244674683,-0.01659230887889862,0.06093158572912216
48,41,1,0,1.2988765239715576,0.1587805300951004,0.056494101881980896
49,41,1,1,1.430473804473877,0.15277227759361267,0.05923840031027794
50,42,1,0,1.4834157228469849,-0.12048318982124329,0.08079693466424942
51,42,1,1,1.35718834400177,0.025799306109547615,0.044052597135305405
52,43,1,0,1.2950044870376587,0.051106058061122894,0.13557250797748566
53,43,1,1,1.2941840887069702,0.17154589295387268,0.14062152802944183
54,44,1,0,1.2202670574188232,-0.3622525930404663,0.1365870237350464
55,44,1,1,1.3164142370224,0.18094660341739655,0.14470762014389038
56,46,0,0,1.6197582483291626,-0.012803175486624241,0.025287771597504616
57,46,0,1,1.0051100254058838,0.08058518916368484,0.04291374981403351
58,47,1,0,1.1259205341339111,0.09088651090860367,0.03306913375854492
59,47,1,1,1.2901532649993896,0.19911769032478333,0.029902780428528786
60,48,0,0,1.101567268371582,0.10599611699581146,0.03878520801663399
61,48,0,1,1.320259690284729,0.133427232503891,0.036769796162843704
62,51,0,0,1.1966983079910278,0.14427228271961212,0.18591409921646118
63,51,0,1,1.2776826620101929,0.019516928121447563,0.12257608771324158
64,52,0,0,1.1722118854522705,0.45628124475479126,0.1100209653377533
65,52,0,1,1.115964651107788,0.4152689576148987,0.16006113588809967
66,53,0,0,1.0394134521484375,0.000500516383908689,0.07682594656944275
67,53,0,1,1.0634089708328247,0.2452262043952942,0.058456577360630035
68,54,1,0,3.7770979404449463,0.2779321074485779,0.22351625561714172
69,54,1,1,1.2325842380523682,0.15477916598320007,0.10573595017194748
70,55,0,0,1.3660091161727905,0.40343189239501953,0.10856277495622635
71,55,0,1,1.7768034934997559,0.4379251301288605,0.11150301247835159
72,56,0,0,1.0669091939926147,0.7865898609161377,0.07132771611213684
73,56,0,1,1.5257811546325684,0.12572161853313446,0.06617285311222076
74,57,0,0,1.0257419347763062,0.8415767550468445,0.07775328308343887
75,57,0,1,0.8437260389328003,1.3570334911346436,0.06521063297986984
76,58,1,0,4.747782230377197,0.3094830811023712,0.18362200260162354
77,58,1,1,1.4374785423278809,0.08880839496850967,0.031061608344316483
78,59,0,0,1.599318504333496,0.16424526274204254,0.05507349222898483
79,59,0,1,1.4061837196350098,0.06464316695928574,0.08829193562269211
80,60,0,0,1.0121524333953857,1.1014807224273682,0.11750757694244385
81,60,0,1,1.4283899068832397,0.40928220748901367,0.10832440853118896
82,61,0,0,1.063647747039795,0.07209891825914383,0.02635561302304268
83,61,0,1,1.0803791284561157,0.05291924625635147,0.02804502099752426
84,62,0,0,1.3687111139297485,0.07966956496238708,0.1126151904463768
85,62,0,1,1.7185797691345215,0.34363070130348206,0.1431749314069748
86,63,0,0,1.1400657892227173,0.3997625410556793,0.17761433124542236
87,63,0,1,1.550781488418579,-0.16438058018684387,0.14391061663627625
88,67,1,0,1.5084850788116455,0.3275894522666931,0.16245542466640472
89,67,1,1,1.553029179573059,0.2758300304412842,0.06867760419845581
90,69,1,0,1.1082215309143066,0.8730869293212891,0.04321310296654701
91,69,1,1,1.4664684534072876,0.1491362601518631,0.13927222788333893
92,71,0,0,1.7175949811935425,-0.06355497241020203,0.04412699490785599
93,71,0,1,1.8830432891845703,0.01550198718905449,0.01480050478130579
94,72,1,0,1.805965781211853,-0.25872233510017395,0.13250082731246948
95,72,1,1,1.3240233659744263,0.38188228011131287,0.13268738985061646
96,74,1,0,1.8890891075134277,0.31085923314094543,0.13824675977230072
97,74,1,1,1.2750506401062012,-0.023175006732344627,0.038798533380031586
98,75,0,0,1.1458933353424072,0.08227403461933136,0.08858897536993027
99,75,0,1,1.867667555809021,0.06291773915290833,0.09290080517530441
100,76,1,0,1.2362513542175293,-0.14787229895591736,0.06903202086687088
101,76,1,1,1.4437999725341797,0.025551147758960724,0.014131935313344002
102,78,1,0,1.3119884729385376,0.10882210731506348,0.07049370557069778
103,78,1,1,1.2998607158660889,-0.043594103306531906,0.024534346535801888
104,79,0,0,1.4472581148147583,0.05850200355052948,0.029442377388477325
105,79,0,1,1.3992172479629517,0.138043612241745,0.046656783670186996
106,80,0,0,0.8443644046783447,1.3233281373977661,0.09720219671726227
107,80,0,1,1.1884846687316895,0.4282588064670563,0.17161515355110168
108,81,1,0,1.2028908729553223,0.17363491654396057,0.06167334318161011
109,81,1,1,1.3077505826950073,0.10454285889863968,0.23704227805137634
110,82,0,0,1.1876814365386963,-0.19024893641471863,0.16385459899902344
111,82,0,1,1.5816155672073364,-0.29485705494880676,0.12382837384939194
112,83,0,0,1.3551523685455322,0.11035005003213882,0.06083555519580841
113,83,0,1,1.3355474472045898,0.18606731295585632,0.03552864119410515
114,85,0,0,1.2434808015823364,0.402915894985199,0.17158928513526917
115,85,0,1,1.3091788291931152,0.35971301794052124,0.17257311940193176
116,86,0,0,1.2504397630691528,-1.0405781269073486,0.17790456116199493
117,86,0,1,1.4730290174484253,-1.1211820840835571,0.17711541056632996
118,90,1,0,1.178904414176941,1.3055487871170044,0.06662754714488983
119,90,1,1,1.4340553283691406,0.15446294844150543,0.23089472949504852
120,91,0,0,1.4513006210327148,0.03679586201906204,0.09086962044239044
121,91,0,1,1.1535494327545166,0.3030482232570648,0.07590974122285843
122,92,1,0,1.3428038358688354,0.22639097273349762,0.04730396717786789
123,92,1,1,1.6062798500061035,0.16758139431476593,0.02838163822889328
124,93,0,0,1.3702878952026367,0.18966694176197052,0.08033011853694916
125,93,0,1,1.39921236038208,0.13690342009067535,0.05103866010904312
126,94,1,0,1.4779633283615112,0.07991786301136017,0.05452455207705498
127,94,1,1,1.2487953901290894,0.06270135194063187,0.027124542742967606
128,95,1,0,1.418439507484436,-0.1697535365819931,0.09465368092060089
129,95,1,1,1.2815450429916382,-0.0247805155813694,0.016094617545604706
130,96,1,0,1.046728491783142,0.23745310306549072,0.04127141088247299
131,96,1,1,1.1892393827438354,0.229093536734581,0.03743980452418327
132,100,0,0,1.032796025276184,0.07093892991542816,0.02529171109199524
133,100,0,1,1.4888763427734375,0.04448937252163887,0.019805146381258965
134,102,1,0,2.0724072456359863,-0.3253428339958191,0.14955061674118042
135,102,1,1,1.363996982574463,0.14280398190021515,0.1268104612827301
136,103,0,0,1.4370795488357544,0.030366022139787674,0.034197479486465454
137,103,0,1,1.6349976062774658,0.008119623176753521,0.022479837760329247
138,104,0,0,1.3775962591171265,0.13879457116127014,0.06260226666927338
139,104,0,1,1.3055020570755005,0.1701716035604477,0.04883432015776634
140,105,0,0,1.4764087200164795,0.177506223320961,0.054402098059654236
141,105,0,1,1.4898146390914917,0.16448862850666046,0.04494886472821236
142,106,1,0,1.9312609434127808,-0.0386015810072422,0.14768581092357635
143,106,1,1,1.5059961080551147,0.4463746249675751,0.17699512839317322
144,107,0,0,1.509864330291748,0.13222968578338623,0.08649247884750366
145,107,0,1,1.541676640510559,0.02419145591557026,0.08124703913927078
146,112,0,0,1.185692310333252,0.018752330914139748,0.11124198883771896
147,112,0,1,0.9875536561012268,-0.1615072637796402,0.11412077397108078
148,113,1,0,1.4872138500213623,-0.03453339636325836,0.07810791581869125
149,113,1,1,1.3258030414581299,0.081663578748703,0.07248469442129135
