"ML1","ML2","ML4","ML3","measure","itemNumber","item"
0.0526032792671499,0.298277797058995,0.0603616929469464,0.0467450499420527,"ESISF",63,"ESISF_105"
-0.140947799895995,0.157328398470295,0.118120705199036,0.200990215792503,"ESISF",64,"ESISF_110"
-0.19030777957082,0.565801707427425,0.110873947707573,0.0932941146916038,"ESISF",65,"ESISF_111"
-0.0397965078530095,0.576063739942695,-0.137912526923835,0.0127745415104069,"ESISF",66,"ESISF_115"
0.152756798662107,0.374698683193306,0.0567725754225968,0.0946346060320989,"ESISF",67,"ESISF_123"
0.0201974316704962,0.657758397439384,-0.0431074216286972,0.0630189115745203,"ESISF",68,"ESISF_130"
-0.0112671394064223,0.70400035738148,0.000377518484528161,-0.0523371190683573,"ESISF",69,"ESISF_138"
-0.0829739360425369,0.221146404255664,0.0555205634309142,0.16774876798291,"ESISF",70,"ESISF_140"
-0.0856214015233182,0.743257534220952,0.0312088631757916,0.0695343451456821,"ESISF",71,"ESISF_149"
0.0576294088276259,0.545533092561643,-0.111937460863363,0.0896551181500342,"ESISF",72,"ESISF_151"
0.0373926144507903,0.385838972405789,0.305481225769056,-0.0353571458617836,"ESISF",73,"ESISF_152"
-0.00701377933430048,0.639091049231853,0.0550384296776835,0.00707637902908863,"ESISF",74,"ESISF_155"
0.0786558901093984,0.430418732916158,0.22905643586383,0.00404562973899334,"ESISF",75,"ESISF_156"
-0.0855689746854404,0.173780509817842,0.0994556475540978,0.224955133142729,"ESISF",76,"ESISF_159"
-0.0459235487508891,0.667079080494987,0.0671576694322361,-0.0152360969846458,"ESISF",77,"ESISF_16"
0.152982560833743,0.415216414540624,-0.102541730121182,-0.0772579432302707,"ESISF",78,"ESISF_2"
0.0562852344652126,0.523596919504158,-0.0653712444092354,0.0880515066300923,"ESISF",79,"ESISF_24"
-0.0468546700391548,0.639378018039919,0.000874049678874177,0.00214891844648957,"ESISF",80,"ESISF_3"
0.114928046302847,0.674215073283178,-0.0638748439159446,-0.182818634259744,"ESISF",81,"ESISF_34"
-0.0350913359450112,0.193919432585607,0.0772302532129201,0.159997768721516,"ESISF",82,"ESISF_35"
-0.059044223387903,0.268022907700558,0.16150708621641,0.00333469476920393,"ESISF",83,"ESISF_42"
0.0494521427768834,0.301978310340964,0.321447286919052,-0.0907986765094482,"ESISF",84,"ESISF_47"
0.0882239965604578,0.578062298889581,-0.101832956402455,0.00493482882677269,"ESISF",85,"ESISF_48"
-0.164762528378293,0.677473386476444,0.135539786612966,0.123067161163209,"ESISF",86,"ESISF_51"
-0.0223465772160493,0.447585190695895,0.108796562510757,0.0983745132023178,"ESISF",87,"ESISF_61"
-0.0973966947759557,0.34456850866165,0.14201932363727,0.0767142725385144,"ESISF",88,"ESISF_67"
0.0258613777513664,0.267883163969949,0.373446680267256,-0.0142511504425467,"ESISF",89,"ESISF_69"
-0.0026590659332041,0.263743624307501,0.00154736767759118,0.157681638827998,"ESISF",90,"ESISF_75"
0.0739795142620037,0.706260676145749,-0.00329098415071638,-0.140549901143178,"ESISF",91,"ESISF_80"
